dataset,dataset_label,sample_id,sample_short,marker,available,evidence_source,nonmissing_spots_or_cells,positive_spots_or_cells,note
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,HLA-DPA1,True,coverage_table+spot_expression_column,0.0,0.0,
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,HLA-DPB1,True,coverage_table+spot_expression_column,0.0,0.0,
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,CD74,True,coverage_table+spot_expression_column,2610.0,2603.0,
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,B2M,True,coverage_table+spot_expression_column,0.0,0.0,
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,CIITA,True,coverage_table+spot_expression_column,0.0,0.0,
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,NLRC5,False,coverage_table+spot_expression_column,0.0,0.0,
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,LAMP3,True,coverage_table+spot_expression_column,2610.0,273.0,
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,CCR7,True,coverage_table+spot_expression_column,2610.0,46.0,
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,CD40,True,coverage_table+spot_expression_column,2610.0,1044.0,
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,CD80,True,coverage_table+spot_expression_column,2610.0,53.0,
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,CD86,True,coverage_table+spot_expression_column,2610.0,304.0,
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,CD274,True,coverage_table+spot_expression_column,2610.0,132.0,
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,PDCD1LG2,True,coverage_table+spot_expression_column,2610.0,114.0,
GSE288483,GSE288483,GSM8768685_Pt2-3,Pt2-3,ITGAX,True,coverage_table+spot_expression_column,1635.0,1540.0,
GSE288483,GSE288483,GSM8768685_Pt2-3,Pt2-3,CD11C,False,coverage_table+spot_expression_column,0.0,0.0,CD11C is represented by ITGAX where gene-symbol-level expression was used.
GSE288483,GSE288483,GSM8768685_Pt2-3,Pt2-3,HLA-DRA,True,coverage_table+spot_expression_column,1635.0,1631.0,
