field_id,grid_x,grid_y,x,y,TLS_grid_mean,n_cells,n_tls_high_cells,n_cohigh_cells
73,164,20,5770.470833778381,738.8965606689453,0.16063937772875084,14,3,0
77,157,21,5525.470833778381,773.8965606689453,0.5020963990716864,6,3,0
77,158,21,5560.470833778381,773.8965606689453,0.19686823327115668,4,2,0
73,162,21,5700.470833778381,773.8965606689453,0.4971683980678785,8,4,0
77,158,22,5560.470833778381,808.8965606689453,0.399377380111452,8,3,1
86,190,22,6680.470833778381,808.8965606689453,0.15776242993724976,12,2,0
93,134,23,4720.470833778381,843.8965606689453,0.1920552491794978,13,2,0
77,156,23,5490.470833778381,843.8965606689453,0.22821912785735485,12,5,1
77,157,23,5525.470833778381,843.8965606689453,0.21865478436597646,9,3,0
86,189,23,6645.470833778381,843.8965606689453,0.6059486300673986,8,3,1
86,190,23,6680.470833778381,843.8965606689453,0.289642504850288,17,6,0
86,191,23,6715.470833778381,843.8965606689453,0.2908076276878112,10,4,0
99,218,23,7660.470833778381,843.8965606689453,0.838764533763988,3,1,0
99,219,23,7695.470833778381,843.8965606689453,0.18036243229433457,11,2,0
100,222,23,7800.470833778381,843.8965606689453,0.24990330938965458,4,2,1
100,223,23,7835.470833778381,843.8965606689453,0.4809321746096504,3,2,1
93,134,24,4720.470833778381,878.8965606689453,0.19882387892021663,9,5,1
77,156,24,5490.470833778381,878.8965606689453,0.176670019880234,14,3,0
104,159,24,5595.470833778381,878.8965606689453,0.17264156985226722,13,1,0
107,214,24,7520.470833778381,878.8965606689453,0.14767155952019734,8,1,0
108,235,24,8255.470833778381,878.8965606689453,0.16636734221710597,8,3,2
93,135,25,4755.470833778381,913.8965606689453,0.17926550690867174,7,4,0
104,159,25,5595.470833778381,913.8965606689453,0.24407994762535287,10,2,0
104,160,25,5630.470833778381,913.8965606689453,0.22531987259073286,12,3,0
111,166,25,5840.470833778381,913.8965606689453,0.18878022934961153,8,3,0
114,205,25,7205.470833778381,913.8965606689453,0.25101815408681694,13,5,0
107,213,25,7485.470833778381,913.8965606689453,0.15706119064897717,10,1,0
108,235,25,8255.470833778381,913.8965606689453,0.4678509633791808,9,4,0
117,284,25,9970.470833778381,913.8965606689453,0.2577643360586996,5,1,1
120,110,26,3880.4708337783813,948.8965606689453,0.4413935639808545,9,4,0
120,111,26,3915.4708337783813,948.8965606689453,0.2286961843738521,12,5,1
93,136,26,4790.470833778381,948.8965606689453,0.5180831616246363,8,4,0
93,137,26,4825.470833778381,948.8965606689453,0.16903333536862877,12,5,0
121,145,26,5105.470833778381,948.8965606689453,0.33528849543248324,11,3,1
121,146,26,5140.470833778381,948.8965606689453,0.18139037170263456,14,3,0
123,153,26,5385.470833778381,948.8965606689453,0.16519050873115007,14,3,0
111,165,26,5805.470833778381,948.8965606689453,0.16622024547286712,10,5,2
114,206,26,7240.470833778381,948.8965606689453,0.2410105779466905,5,1,0
117,284,26,9970.470833778381,948.8965606689453,0.16014032486709703,11,2,0
120,110,27,3880.4708337783813,983.8965606689453,0.15290032944692217,14,3,1
93,138,27,4860.470833778381,983.8965606689453,0.2507046503530597,12,6,2
123,153,27,5385.470833778381,983.8965606689453,0.2954130269188597,11,3,0
111,164,27,5770.470833778381,983.8965606689453,0.23741898342268206,18,5,1
